2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-361; I § 272 ændres »eller § 215 a, stk. 6,« til: »§ 215 a, stk. 6, eller § 215 b, stk. 1,«.
2013-362; Lovens titel affattes således:
2013-362; Overalt i loven bortset fra § 1, stk. 3, ændres »lægelig patientbehandling m.v.« til: »lægelig patientbehandling eller tandlægebehandling m.v.«, »læger« til: »læger eller tandlæger«, »læge« til: »læge eller tandlæge«, »lægen« til: »lægen eller tandlægen«, »Lægen« til: »Lægen eller tandlægen«, »lægers« til: »lægers eller tandlægers«, og »læges« til: »læges eller tandlæges«.
2013-362; § 1, stk. 2, affattes således:
2013-362; I § 1, stk. 3, ændres »den offentlige sygesikring« til: »Regionernes Lønnings- og Takstnævn«.
2013-362; I § 2 indsættes som stk. 3:
2013-362; § 4, stk. 1, nr. 1, affattes således:
2013-362; § 4, stk. 4 og 5, affattes således:
2013-362; I § 5 indsættes som stk. 3:
2013-362; § 6 ophæves.
2013-362; I § 7 indsættes som stk. 3:
2013-362; I § 8, stk. 1, ændres »§ 2 eller §§ 4-6« til: »§§ 2, 4 eller 5«.
2013-362; § 10 ophæves.
2013-378; Fodnoten til lovens titel affattes således:
2013-378; I § 2, stk. 2, ændres »§§ 1 og 3, § 12 a, § 13, stk. 3 og stk. 8, nr. 1« til: »§ 1 og § 13, stk. 3 og stk. 8, nr. 1«.
2013-378; I § 2, stk. 3, ændres »§ 13, stk. 2 og 4-6, og §§ 14 a, 15 og 16« til: »§ 13, stk. 2 og 4-6, og §§ 15 og 16«.
2013-378; § 8, stk. 2, affattes således:
2013-378; I § 8 indsættes som stk. 3:
2013-378; I § 27, stk. 1, 2. pkt., indsættes efter »§ 20, stk. 1«: », og på begæring anlægge sag om erstatning og vederlag«.
2013-378; Efter § 27 indsættes:
2013-378; I § 30, stk. 1, 1. pkt., indsættes efter »§ 27, stk. 2,«: »eller § 27 a«.
2013-378; I § 30, stk. 3, 1. pkt., ændres »§ 3, stk. 1 og 2, §§ 4-6, § 8, stk. 2, § 9, § 12 a, stk. 1 og 2, § 13, stk. 1-4, § 14, § 14 a, § 15, stk. 3, § 16, stk. 1-4,« til: »§ 3, stk. 1 og 2, §§ 4-6, § 8, stk. 2 og 3, § 9, § 12 a, stk. 1 og 2, § 13, stk. 1-4, § 14, § 14 a, § 15, stk. 3, § 16, stk. 1-4,«.
2013-378; Efter § 30 indsættes:
2013-378; I § 260, stk. 1, ændres »stk. 2-9« til: »stk. 2-10«.
2013-378; I § 260, stk. 2, ændres »8 og 9« til: »7, 9 og 10«.
2013-378; I § 260 indsættes efter stk. 6 som nyt stykke:
2013-378; I § 260, stk. 7, der bliver stk. 8, indsættes efter »stk. 6«: »og 7«.
2013-378; I § 267 a, stk. 1, ændres »8 og 9« til: »7, 9 og 10«.
2013-378; I § 348, stk. 1, indsættes efter 1. pkt.:
2013-378; I § 97, stk. 6, indsættes før 1. pkt.:
2013-379; Efter § 9 a indsættes før overskriften før § 10:
2013-380; Fodnoten til lovens titel affattes således:
2013-380; I § 63 indsættes efter stk. 1 som nyt stykke:
2013-380; § 65, stk. 2, 2. pkt., ophæves, og efter stk. 2 indsættes som nye stykker:
2013-380; I § 66, stk. 1, 2. og 3. pkt., ændres »50 år« til: »70 år«.
2013-380; Efter § 66 indsættes før overskriften før § 67:
2013-380; I § 68, stk. 1, og § 86, stk. 8, ændres »§ 65, stk. 2« til: »§ 65, stk. 2-4«.
2013-380; I § 69, stk. 3, ændres »39-46« til: »39-46 a«.
2013-380; I § 90, stk. 3, ændres »§ 63, stk. 4« til: »§ 63, stk. 5«.
2013-380; I § 91, stk. 2, ændres »§ 65, stk. 3« til: »§ 65, stk. 5«.
2013-381; I § 21, stk. 5, indsættes efter »udgifter«: »og om anvendelse af generelle reserver«.
2013-381; I § 40, stk. 4, indsættes efter »udgifter«: »og om anvendelse af generelle reserver«.
2013-388; I § 5 ændres »§§ 6-9« til: »§§ 6-8«.
2013-388; § 7, stk. 1, affattes således:
2013-388; § 9 ophæves.
2013-388; I § 10 indsættes som stk. 2:
2013-388; § 13, stk. 1, affattes således:
2013-388; Efter § 21 indsættes:
2013-388; § 22, stk. 4, affattes således:
2013-388; § 26 a, stk. 1, affattes således:
2013-413; I § 50 indsættes efter stk. 1 som nyt stykke:
2013-428; I § 795 indsættes som stk. 3:
2013-428; I § 804, stk. 1, indsættes som 2. pkt.:
2013-428; Overskriften til kapitel 3 a affattes således:
2013-428; § 5 a affattes således:
2013-428; Som bilag 5 indsættes bilag 1 til denne lov.
2013-428; I § 6, stk. 1, og § 10 h, stk. 1, ændres »hans« til: »dennes«.
2013-428; § 8 affattes således:
2013-428; Fem steder i § 10 og i § 16, stk. 1, § 17, stk. 1, 1. pkt., § 18 e, stk. 1, 1. pkt., og § 20, stk. 1, ændres »han« til: »den pågældende«.
2013-428; I § 10, nr. 1, litra b, ændres »45« til: »30«.
2013-428; I § 10 d, stk. 1, 1. pkt., udgår »end den medlemsstat, der har anmodet om udlevering,«.
2013-428; § 10 d, stk. 1, 4. pkt., affattes således:
2013-428; I § 10 m, stk. 1, 1. pkt., udgår »andet«.
2013-428; § 10 m, stk. 1, 4. pkt., affattes således:
2013-428; I § 10 o, stk. 2, nr. 1, og stk. 4, nr. 2, ændres »45« til: »30«.
2013-428; I § 21, stk. 1, ændres »han« til: »ministeren«.
2013-428; I § 21 indsættes som stk. 4:
2013-428; Efter § 21 b indsættes:
2013-428; Som bilag 3 indsættes bilag 2 til denne lov.
2013-429; I § 13 b, stk. 1, nr. 3, indsættes efter litra d som nyt litra:
2013-429; I § 15 indsættes som stk. 4:
2013-429; I § 125 indsættes efter stk. 2 som nyt stykke:
2013-429; I § 126, stk. 1, ændres »§ 125, stk. 4« til: »§ 125, stk. 5«.
2013-429; To steder i § 126, stk. 2, ændres »3« til: »4«.
2013-429; Efter § 156 indsættes før afsnit IV:
2013-429; I § 12, stk. 3, indsættes efter »borgerlige sager«: »og ved afgørelse af tvister i konkursboer og sager om konkurskarantæne«.
2013-429; I § 16, stk. 4, og § 20 a indsættes efter »tvister i konkursboer«: »og sager om konkurskarantæne«.
2013-429; Efter § 37 b indsættes:
2013-430; Overalt i loven ændres »§ 48 e, stk. 1« til: »§ 48 e, stk. 2«.
2013-430; I § 13, stk. 1, 3. pkt., indsættes efter »§ 14«: »og § 14 a«.
2013-430; Efter § 14 indsættes:
2013-430; I § 25 a, stk. 1, nr. 1, ændres »§ 42 a, stk. 7, 2. pkt.« til: »§ 42 a, stk. 7, 4. pkt.«
2013-430; I § 33, stk. 2, indsættes efter 1. pkt.:
2013-430; I § 34, stk. 2, nr. 3, indsættes efter »indkvarteringsstedet,«: »eller«.
2013-430; I § 34, stk. 2, nr. 4, ændres »§ 42 a, stk. 7, 1. pkt.« til: »§ 42 a, stk. 7, 3. pkt.,«, og », eller« udgår.
2013-430; § 34, stk. 2, nr. 5, ophæves.
2013-430; I § 34 indsættes efter stk. 2 som nyt stykke:
2013-430; I § 34 a, stk. 1 og 5, ændres »§ 42 a, stk. 8,« til: »§ 42 a, stk. 9,«.
2013-430; I § 34 a, stk. 1, ændres »§ 42 a, stk. 9,« til: »§ 42 a, stk. 10,«.
2013-430; I § 36, stk. 2 og 6, ændres »42 a, stk. 7, 1. pkt.,« til: »42 a, stk. 7, 3. pkt.,«.
2013-430; I § 36, stk. 6, ændres »stk. 11« til: »stk. 12«.
2013-430; I § 36, stk. 7, ændres »§ 34, stk. 3,« til: »§ 34, stk. 4,«.
2013-430; I § 40, stk. 3, indsættes efter »nødvendige sundhedsmæssige ydelser«: »eller ophold på eller i tilknytning til et indkvarteringssted omfattet af § 42 a, stk. 5«.
2013-430; I § 42 a, stk. 4, 2. pkt., indsættes efter »nødvendige sundhedsmæssige ydelser«: »eller ophold på eller i tilknytning til et indkvarteringssted omfattet af stk. 5«.
2013-430; § 42 a, stk. 7, ophæves, og i stedet indsættes:
2013-430; I § 42 a, stk. 8, 2. pkt., som bliver stk. 9, 2. pkt., ændres »Stk. 7, 2. pkt.,« til: »Stk. 7, 4. pkt.,«.
2013-430; I § 42 a, stk. 9, som bliver stk. 10, ændres »stk. 8« til: »stk. 9«.
2013-430; I § 42 a, stk. 10, nr. 3, som bliver stk. 11, nr. 3, ændres »stk. 7, 1. pkt. eller stk. 8, 1. pkt.,« til: »stk. 7, 3. pkt., eller stk. 9, 1. pkt.,«.
2013-430; I § 42 a, stk. 12, som bliver stk. 13, ændres »stk. 10 eller 11« til: »stk. 11 eller 12«.
2013-430; I § 42 a, stk. 13, som bliver stk. 14, ændres »stk. 10 og 11« til: »stk. 11 og 12«.
2013-430; § 42 b, stk. 14, ophæves, og i stedet indsættes:
2013-430; I § 42 c, stk. 2, 1. pkt., indsættes efter »forudsætninger«: », herunder eventuel beskæftigelse«.
2013-430; I § 42 f, stk. 1, 1. pkt., indsættes efter »kultur- og samfundsforhold«: »samt arbejdsmarkeds-, uddannelses- og boligforhold«.
2013-430; I § 42 f, stk. 2 , indsættes som 2. pkt.:
2013-430; I § 42 f, stk. 5, indsættes efter 2. pkt.:
2013-430; I § 42 f, stk. 8, ændres »skoler, uddannelsesinstitutioner og udbydere under Beskæftigelsesministeriet, Kulturministeriet, Børne- og Undervisningsministeriet og Justitsministeriet« til: »eksterne aktører, herunder skoler, uddannelsesinstitutioner og udbydere under Beskæftigelsesministeriet, Kulturministeriet, Børne- og Undervisningsministeriet og Justitsministeriet,«.
2013-430; I § 42 g, 1. pkt., indsættes efter »§ 42 a, stk. 1 eller 2, jf. stk. 3,«: »eller § 42 k,«.
2013-430; I § 42 g indsættes som stk. 2:
2013-430; Efter § 42 j indsættes:
2013-430; I § 43 a indsættes efter stk. 7 som nyt stykke:
2013-430; I § 44 a, stk. 10, 1. pkt., indsættes efter »beskæftigelse efter denne lov,«: »oplysninger om udlændinge, der har opnået beskæftigelse i medfør af § 14 a,«.
2013-430; I § 46 a, stk. 1, ændres »§ 42 a, stk. 8, 1. pkt.« til: »§ 42 a, stk. 9, 1. pkt.«
2013-430; I § 46 a, stk. 1, indsættes som 2. pkt.:
2013-430; I § 48, 3. pkt., indsættes efter »§ 40 b, stk. 1,«: »og afgørelser om, at dokumenter eller genstande tages i bevaring, jf. § 40, stk. 8,«.
2013-430; § 48 e affattes således:
2013-430; I § 60, stk. 1, ændres »§ 42 a, stk. 7, 1. pkt., og § 42 a, stk. 8, 1. pkt.,« til: »§ 42 a, stk. 7, 3. pkt., og § 42 a, stk. 9, 1. pkt.,«.
2013-430; § 2, stk. 5, affattes således:
2013-430; I § 48 B, stk. 1, indsættes som 2. pkt.:
2013-430; Efter § 11 indsættes:
2013-431; § 1, stk. 2, litra b, affattes således:
2013-431; § 2 c, stk. 1, affattes således:
2013-431; § 3, stk. 5, 2. pkt., affattes således:
2013-431; § 6, stk. 2, affattes således:
2013-431; I § 6 a indsættes som stk. 2:
2013-431; § 9, stk. 2, 1. pkt., affattes således:
2013-431; I § 10, stk. 1, 1. pkt., ændres »og § 7 c, stk. 1« til: »§ 7 c, stk. 1, og artikel 4, stk. 1, i Europa-Parlamentets og Rådets forordning (EU) nr. 258/2012 af 14. marts 2012«.
2013-431; I § 192 a, stk. 1, indsættes efter »lovgivningen om våben og eksplosivstoffer«: »eller artikel 4, stk. 1, i Europa-Parlamentets og Rådets forordning (EU) nr. 258/2012 af 14. marts 2012«.
2013-432; I § 9 c indsættes efter stk. 4 som nyt stykke:
2013-432; I § 33, stk. 5, ændres »§ 9 c, stk. 5« til: »§ 9 c, stk. 6«.
2013-432; I § 33, stk. 14, 3. pkt., ændres »100« til: »120«.
2013-433; § 19, stk. 7, affattes således:
2013-434; I § 260, stk. 2, indsættes efter »ægteskab«: »eller til en religiøs vielse uden borgerlig gyldighed«.
2013-434; I § 9 f indsættes efter stk. 4 som nyt stykke:
2013-434; I § 9 h, stk. 4, og § 33, stk. 5, ændres »§ 9 f, stk. 7,« til: »§ 9 f, stk. 8,«.
2013-434; I § 19, stk. 1, nr. 9, ændres »§ 9 f, stk. 5,« til: »§ 9 f, stk. 6,«.
2013-434; I § 22, nr. 7, indsættes efter »ægteskab«: »eller til en religiøs vielse uden borgerlig gyldighed«.
2013-434; I § 52 b, stk. 1, nr. 3, indsættes efter »jf. nr. 1 og 2,«: »herunder afgørelser om lovligt forfald, jf. § 9 f, stk. 5,«.
2013-434; I § 2 indsættes som stk. 3:
2013-434; I § 4, nr. 1, ændres »§ 2, stk. 2,« til: »§ 2, stk. 2 eller 3,«.
2013-455; Efter § 33 indsættes:
2013-455; § 44, stk. 2, affattes således:
2013-455; § 58 affattes således:
2013-455; I § 33, stk. 2, 1. pkt., indsættes efter »i en statsskole«: », i en europaskole«.
2013-458; I overskriften til kapitel 2 ændres »Kunstrådet« til: »Statens Kunstfond«.
2013-458; § 2 ophæves.
2013-458; § 4 affattes således:
2013-458; § 5 ophæves.
2013-458; Kapitel 3 ophæves.
2013-458; Overalt i loven ændres »Kunstrådet« til: »Statens Kunstfond«.
2013-458; I overskriften til kapitel 1 udgår »og lokale musikudvalg«.
2013-458; § 1, 2. og 3. pkt., ophæves.
2013-458; § 2 ophæves.
2013-458; § 3 affattes således:
2013-458; I § 3 a, stk. 3, indsættes efter »elevernes«: »musikalske«.
2013-458; § 3 a, stk. 4, affattes således:
2013-458; § 3 b affattes således:
2013-458; I § 3 d, stk. 1, indsættes som 2. pkt.:
2013-458; § 3 d, stk. 3, ophæves.
2013-458; § 3 e, stk. 1, ophæves.
2013-458; I § 12 a indsættes som stk. 5:
2013-458; § 15 ophæves.
2013-458; Overalt i loven ændres »Statens Kunstråd« til: »Statens Kunstfond«.
2013-458; § 17 ophæves.
2013-458; § 18 affattes således:
2013-458; I § 19 a, 2. pkt., ændres »§ 15, stk. 3,« til: »§ 15 a, stk. 3,«.
2013-458; I overskriften til kapitel 13 a ændres »kapitel 7-8« til: »kapitel 7 og 7 a«.
2013-458; Efter § 17 indsættes:
2013-458; I § 24 indsættes som stk. 4:
2013-472; § 2, stk. 1, nr. 8, affattes således:
2013-472; I § 2 indsættes som stk. 3:
2013-472; § 4 affattes således:
2013-472; § 5 affattes således:
2013-472; § 11, stk. 2, affattes således:
2013-472; I § 11 indsættes som stk. 3:
2013-472; I § 14, stk. 1, ændres »Med bøde eller hæfte straffes, hvis ikke strengere straf er forskyldt efter anden lovgivning, den, der som medlem af bestyrelsen eller revisor for fonden« til: »Med bøde eller fængsel indtil 4 måneder straffes, hvis ikke strengere straf er forskyldt efter anden lovgivning, den, der som medlem af bestyrelsen, som direktør eller som revisor for fonden«.
2013-472; I § 14, stk. 1, nr. 3, indsættes efter »der kan medføre tab for fonden«: »eller lønmodtagerne«.
2013-472; I § 14, stk. 2, indsættes efter »nævnte personer«: »og ansatte i fonden«, og »§ 152 og § 264 b« ændres til: »§ 152, jf. § 152 e,«.
2013-472; I § 2, stk. 1, litra c, ændres »opsigelsesperiode.« til: »opsigelsesperiode, og«.
2013-472; I § 2, stk. 1, indsættes som litra d:
2013-472; I § 14 b indsættes efter stk. 2 som nyt stykke:
2013-472; I § 17 r, stk. 2, ændres »§ 14 b, stk. 3,« til: »§ 14 b, stk. 4,«.
2013-472; I § 21, stk. 2, nr. 1, ændres »8« til: »10«.
2013-472; § 21, stk. 2, nr. 2, udgår.
2013-472; I § 23, stk. 1, nr. 1, ændres »3« til: »4«.
2013-472; § 23, stk. 1, nr. 3, udgår.
2013-472; I § 3, stk. 1, nr. 2, ændres »Sammenslutningen af Landbrugets Arbejdsgiverforeninger« til: »Dansk Arbejdsgiverforening«.
2013-472; I § 8, stk. 2, ændres »16 medlemmer« til: »15 medlemmer«, og »og 1 repræsentant for Sammenslutningen af Landbrugets Arbejdsgivere« udgår.
2013-472; I § 34, stk. 2, nr. 1, ændres »8« til: »9«.
2013-472; § 34, stk. 2, nr. 3, udgår.
2013-472; I § 38, stk. 2, nr. 1, ændres »5« til: »6«, og »10« ændres til: »12«.
2013-472; § 38, stk. 2, nr. 3, udgår.
2013-472; I § 61, stk. 3, nr. 1, ændres »4« til: »5«.
2013-472; § 61, stk. 3, nr. 2, udgår.
2013-473; I § 4, stk. 1, nr. 3, ændres »5« til: »6«.
2013-473; § 4, stk. 1, nr. 4, ophæves.
2013-473; I § 6, stk. 2, 2. pkt., indsættes efter »indberetningerne«: »og informationssystemet«.
2013-473; I § 9 indsættes som stk. 7:
2013-473; I § 10 a indsættes efter stk. 3 som nyt stykke:
2013-473; I § 10 a, stk. 4, der bliver stk. 5, indsættes efter »stk. 3«: »og 4«.
2013-473; I § 11, stk. 4, indsættes efter »tilrettelæggelse«: »og undervisningens afholdelse«.
2013-473; § 12 affattes således:
2013-473; I overskriften før § 14 og i § 14, stk. 1 og 3, § 16, stk. 2, § 19, stk. 3, og § 20, stk. 1, ændres »flygtninge og indvandrere« til: »tosprogede«.
2013-473; I § 14, stk. 3, indsættes efter »herunder«: »om deltagerkreds og«.
2013-473; I § 16 indsættes efter stk. 4 som nyt stykke:
2013-473; § 17 affattes således:
2013-473; I overskriften til kapitel 7 indsættes efter »arbejdsmarkedsuddannelser«: »og forsøg«.
2013-473; Efter § 27 indsættes i kapitel 7:
2013-473; I § 11, stk. 3, indsættes som 3. pkt.:
2013-485; § 1 a ophæves.
2013-485; I § 8, stk. 1, nr. 1, ændres »2.489 kr.« til: »2.800 kr. (2013-niveau).«
2013-485; I § 8, stk. 1, nr. 2, og § 10 b, stk. 1, ændres »5.007 kr.« til: »5.753 kr. (2013-niveau).«
2013-485; I § 8, stk. 2, nr. 1, og § 25, stk. 1, 1. pkt., ændres »1.108 kr.« til: »1.274 kr. (2013-niveau)«.
2013-485; I § 8, stk. 2, nr. 2, og § 25, stk. 1, 2. pkt., ændres »3.211 kr.« til: »3.690 kr. (2013-niveau)«.
2013-485; I § 9 ændres »2.562 kr.« til: »2.943 kr. (2013-niveau)«.
2013-485; I § 10 ændres »6.607 kr.« til: »7.592 kr. (2013-niveau).«
2013-485; I § 10 a, stk. 1, ændres »7.120 kr.« til: »8.180 kr. (2013-niveau).«
2013-485; I § 10 b, stk. 2, ændres »2.000 kr.« til: »2.298 kr. (2013-niveau).«
2013-485; I § 10 b, stk. 3, ændres »1.282 kr.« til: »1.473 kr. (2013-niveau).«
2013-485; I § 11, stk. 1, ændres »1.954 kr.« til: »2.245 kr. (2013-niveau)«.
2013-485; I § 24, stk. 1, nr. 1, ændres »6.370 kr.« til: »7.318 kr. (2013-niveau)«.
2013-485; I § 24, stk. 1, nr. 2, ændres »7.870 kr.« til: »9.043 kr. (2013-niveau)«.
2013-485; I § 24, stk. 2, ændres »Fribeløbet er 15.908 kr. pr. måned (mellemste fribeløb)« til: »Mellemste fribeløb udgør 18.278 kr. (2013-niveau)«.
2013-485; I § 24, stk. 3, ændres »Fribeløbet er 30.619 kr. pr. måned (højeste fribeløb)« til: »Højeste fribeløb udgør 35.180 kr. (2013-niveau)«.
2013-485; I § 24, stk. 4, ændres »1.917 kr.« til: »2.203 kr. (2013-niveau)«.
2013-485; I § 24, stk. 10, ændres »5.227 kr.« til: »6.006 kr. (2013-niveau)«.
2013-485; I § 25, stk. 2, 1. pkt., ændres »273.644 kr.« til: »314.403 kr. (2013-niveau).«
2013-485; I § 25, stk. 2, 3. pkt., ændres »583.966 kr.« til: »670.949 kr. (2013-niveau).«
2013-485; I § 25, stk. 2, 4. pkt., ændres »478.171 kr.« til: »549.395 kr. (2013-niveau).«
2013-485; I § 25, stk. 4, ændres »29.046 kr.« til: »33.372 kr. (2013-niveau)«.
2013-485; Overskriften til afsnit I a affattes således:
2013-485; I § 46 a, stk. 1, indsættes efter »uddannelsesstøtte«: », jf. afsnit I,«.
2013-485; § 46 a, stk. 2 og 3, affattes således:
2013-485; I § 46 c, stk. 3, 1. pkt., indsættes efter »statstilskuddet eller bevillingen«: »og kan herunder fastsætte regler om omregning af fremmed valuta til danske kroner«.
2013-485; I § 46 d, stk. 4, indsættes efter »statstilskuddet eller bevillingen«: »og kan herunder fastsætte regler om omregning af fremmed valuta til danske kroner«.
2013-485; § 46 e-§ 46 h ophæves, og i stedet indsættes:
2013-485; Afsnit II a ophæves.
2013-485; I § 3, stk. 2, nr. 3, udgår »og 5«.
2013-485; I § 4, stk. 1, nr. 3, indsættes efter »i gang med,«: »og«.
2013-485; I § 4, stk. 1, nr. 4, ændres »uddannelsesstøtte til, og« til: »uddannelsesstøtte til.«
2013-485; § 4, stk. 1, nr. 5, ophæves.
2013-485; I § 12, stk. 1, udgår »og 5«.
2013-485; § 1 a ophæves.
2013-489; I fodnote 1 til lovens titel indsættes efter »EU-Tidende 2003, nr. L 66, side 26,«: »dele af Europa-Parlamentets og Rådets direktiv 2006/123/EF af 12. december 2006 om tjenesteydelser i det indre marked, EU-Tidende 2006, nr. L 376, side 36,«.
2013-489; I § 10, stk. 1, og § 39, to steder i § 39 a, i § 48, stk. 4, og § 59, stk. 1, nr. 7, ændres »§ 38 e« til: »§ 38 f«.
2013-489; I § 23, stk. 1, indsættes som 2. pkt.:
2013-489; §§ 38 b og 38 c affattes således:
2013-489; § 38 e ophæves, og i stedet indsættes i kapitel 7:
2013-489; Efter § 38 e indsættes i kapitel 8:
2013-489; Efter § 51 c indsættes i kapitel 10:
2013-489; I § 59, stk. 1, nr. 6, ændres »§ 38 b, stk. 2« til: »§ 38 b, stk. 7«.
2013-489; I § 59, stk. 4, ændres »§ 38 b, stk. 1, 3, 4 og 6, § 38 c« til: »§ 38 b, stk. 1-3«, og efter »§ 38 d,« indsættes: »§ 38 e,«.
